band,sex,primary_dose,secondary_dose,year,population,quantity7,eyetot7,quantity14,eyetot14,quantity21,eyetot21,quantity28,eyetot28,quantity35,eyetot35,dppi40,quantity40,eyetot40,dppi41,quantity41,eyetot41,quantity46,eyetot46,quantity49,eyetot49,quantity56,eyetot56,quantity63,eyetot63,prim_maxeye,prim_maxload,prim_resist,prim_resist10,prim_toleye,prim_inf,presid_old,sec_maxeye,sec_maxload,sec_resist,sec_resist10,sec_toleye,sec_inf,sresid_old
847,m,750,300,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
850,m,750,300,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
854,m,0,100,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
855,m,0,30,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
857,f,750,100,2021,az,14102.78554,0,NA,2,NA,0.5,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,NA,NA,2,14102.78554,14102.78554,4.149335696,2,1,-0.049845192,0,0,0,0,0,0,NA
865,m,750,30,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0.342712922,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0.342712922,0.342712922,0.127983169,0,0,NA
866,m,0,30,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,1.483586522,0,NA,NA,0,0,0,0,0,0,NA,0,1.483586522,0,0,0,0,NA
867,m,750,0,2022,az,48084.12356,1,95.30524969,2,NA,1,NA,0,NA,0.5,40,15.09186102,0,41,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,48084.12356,48084.12356,4.682010736,2,1,0.018799682,NA,NA,NA,NA,NA,NA,NA
869,m,750,0,2022,az,26527.05677,0,9712.615145,1,NA,2,NA,2.5,NA,2,40,11349.91747,0,41,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,26527.05677,26527.05677,4.423705438,1,1,0.151185037,NA,NA,NA,NA,NA,NA,NA
873,m,750,na,2021,az,20995.39286,0,NA,2.5,NA,3.5,NA,2,NA,2,NA,NA,NA,41,144.6663169,2,NA,NA,NA,NA,NA,NA,NA,NA,3.5,20995.39286,20995.39286,4.32214469,2.5,1,-0.111795181,NA,NA,NA,NA,NA,NA,NA
875,m,750,30,2022,az,13.70949138,0,1229.226374,1,NA,0,NA,0,NA,0,40,3.172810484,0,41,NA,0,2.783786498,0,0,NA,0,0,NA,NA,1,1229.226374,13.70949138,1.167597656,1,1,-0.103973208,0,2.783786498,0,0,0,0,NA
877,m,750,30,2022,az,0,0,19.3957983,0,NA,1.5,NA,0,NA,0,40,0,0,41,NA,0,41.39650048,0,2.055337584,NA,3.454999476,0,NA,NA,1.5,19.3957983,0,0,0,1,0.032270374,0,41.39650048,2.055337584,0.485059202,0,1,0.070557566
878,m,0,300,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
879,f,750,0,2022,az,140670.2116,0.5,21250.006,2,NA,NA,NA,3,NA,3,40,55848.97998,3,41,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,140670.2116,140670.2116,5.148205228,2,1,0.08447913,NA,NA,NA,NA,NA,NA,NA
885,f,0,100,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
886,m,750,300,2021,az,76.18193644,0,NA,2,NA,3,NA,2,NA,1,NA,NA,NA,41,34.4509012,1,NA,NA,NA,NA,NA,NA,NA,NA,3,76.18193644,76.18193644,1.887515671,2,1,-0.24016783,NA,NA,NA,NA,NA,NA,NA
889,m,0,100,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
895,f,750,7000,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,9407.092017,0,50176.504,NA,694.8227077,3,NA,NA,0,0,0,0,0,0,NA,3,50176.504,50176.504,4.700509054,3,1,-0.095449817
897,f,0,300,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
899,f,750,0,2022,az,114375.1762,1,20335.21518,6,NA,2,NA,1,NA,0,40,15.92310293,0,41,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,114375.1762,114375.1762,5.058335573,6,1,-0.595159122,NA,NA,NA,NA,NA,NA,NA
901,f,750,100,2022,az,105116.5492,0.5,70166.36911,5,NA,4.5,NA,2.5,NA,0,40,214.0774048,0,41,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,105116.5492,105116.5492,5.021675227,5,1,-0.433747079,NA,NA,NA,NA,NA,NA,NA
909,f,750,100,2021,az,79422.59769,1,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,NA,NA,1,79422.59769,79422.59769,4.899949556,1,1,0.215643384,0,0,0,0,0,0,NA
911,m,0,300,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
917,m,750,7000,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
920,f,0,7000,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,1972.222486,0.5,48523.77201,NA,297879.7254,6,NA,NA,0,0,0,0,0,0,NA,6,297879.7254,48523.77201,4.685963504,6,1,-0.597270158
921,m,750,7000,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,36280.82359,0,98337.62259,2,0,0,NA,NA,0,0,0,0,0,0,NA,2,98337.62259,98337.62259,4.992724121,2,1,0.108279613
922,m,750,7000,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
923,m,750,300,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
924,f,750,na,2021,az,37772.81472,2,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,41,101864.8853,4,NA,NA,NA,NA,NA,NA,NA,NA,4,101864.8853,37772.81472,4.577190846,3,1,-0.161987453,NA,NA,NA,NA,NA,NA,NA
931,m,0,0,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
932,m,0,100,2022,az,1.651975648,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,11492.92938,2,NA,NA,0,1.651975648,1.651975648,0.423569532,0,0,NA,2,11492.92938,0,0,2,1,-0.277626744
944,f,0,100,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
948,m,750,300,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,568.3457056,0,75358.44616,NA,76482.65045,4.5,NA,NA,0,0,0,0,0,0,NA,4.5,76482.65045,75358.44616,4.877137698,4.5,1,-0.323149315
950,f,750,7000,2022,az,67305.36198,0,1153.058367,3,NA,0.5,NA,1,NA,0,40,0.71156118,0,41,NA,0,6.737069153,0,11.73452079,NA,26.15771327,0,NA,NA,3,67305.36198,67305.36198,4.828056117,3,1,-0.127758604,0,26.15771327,11.73452079,1.104982607,0,1,0.094845409
954,m,0,0,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
