"band","sex","primary_dose","secondary_dose","population","dppi46","quantity46","eyetot46","dppi49","quantity49","eyetot49","dppi56","quantity56","eyetot56","dppi63","quantity63","eyetot63","sec_maxeye","sec_maxload","year.x","sec_resist","sec_resist10","sec_toleye","sec_inf","sresid","dppi7","quantity7","eyetot7","dppi14","quantity14","eyetot14","dppi21","quantity21","eyetot21","dppi28","quantity28","eyetot28","dppi35","quantity35","eyetot35","dppi40","quantity40","eyetot40","dppi41","quantity41","eyetot41","year.y","prim_maxeye","prim_maxload","prim_resist","prim_resist10","prim_toleye","prim_inf","presid"
969,"f","750","0","az",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,29956.45075,0,14,92.48568521,1,21,NA,0,28,NA,0,35,NA,0,40,3.820519191,0,41,NA,0,"2022",1,29956.45075,29956.45075,4.47650485401032,1,1,0.158048458061098
971,"m","750","100","az",46,69.36900946,0,49,12.48045595,NA,56,10.7119045,0,NA,NA,NA,0,69.36900946,"2022",12.48045595,1.12970458160733,0,1,0.0959545941608976,7,156565.1493,0.5,14,535.1046904,2.5,21,NA,0.5,28,NA,0,35,NA,0,40,1.354146512,0,41,NA,0,"2022",2.5,156565.1493,156565.1493,5.19469787035697,2.5,1,0.00790255209025625
972,"m","0","7000","az",46,10653.60728,0,49,401469.3436,1.5,56,540583.8366,6,NA,NA,NA,6,540583.8366,"2021",401469.3436,5.60365346969797,6,1,-0.47926092089516,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
974,"f","750","0","az",46,2.5133463,0,49,0,NA,56,0,0,NA,NA,NA,0,2.5133463,"2022",0,0,0,0,NA,7,393.1112952,0,14,612.4171533,0.5,21,NA,0,28,NA,0,35,NA,0,40,6.119873784,0,41,NA,0,"2022",0.5,612.4171533,393.1112952,2.59561888189107,0.5,1,0.0521344323774265
975,"m","0","300","az",46,9.145414505,0,49,234151.1516,1,56,0,0,NA,NA,NA,1,234151.1516,"2021",234151.1516,5.36949815282369,1,1,0.32365115995803,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
976,"f","750","300","az",46,0,0,49,3.322123325,0,56,0.776413252,0,NA,NA,NA,0,3.322123325,"2021",3.322123325,0.63569715463488,0,0,NA,7,118632.203,1.5,14,NA,3,21,NA,2.5,28,NA,0.5,35,NA,0,NA,NA,NA,41,0,0,"2021",3,118632.203,118632.203,5.07420625615792,3,1,-0.0928774763318773
979,"m","750","0","az",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,72193.45594,1,14,3840.823384,2.5,21,NA,1.5,28,NA,2,35,NA,0.5,40,11.62982159,0,41,NA,0,"2022",2.5,72193.45594,72193.45594,4.85850384788664,2.5,1,-0.0401740297728027
980,"m","0","7000","az",46,2132.87581,0,49,398920.4051,2,56,41.96794289,2,NA,NA,NA,2,398920.4051,"2021",398920.4051,5.60088734006368,2,1,0.187046825604401,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
981,"m","750","0","az",46,0,0,49,0,NA,56,0,0,NA,NA,NA,0,0,"2022",0,0,0,0,NA,7,0,0,14,0,0,21,NA,0,28,NA,0,35,NA,0,40,4.933895236,0,41,NA,0,"2022",0,4.933895236,0,0,0,0,NA
983,"f","0","100","az",46,0,0,49,30187.865,NA,56,0,0,NA,NA,NA,0,30187.865,"2022",30187.865,4.47984678531515,0,1,0.37724372696288,7,0,0,14,0,0,21,NA,0,28,NA,0,35,NA,0,40,0,0,41,NA,0,"2022",0,0,0,0,0,0,NA
991,"m","750","300","az",46,0,0,49,0,NA,56,0,0,NA,NA,NA,0,0,"2022",0,0,0,0,NA,7,0,0,14,0,0,21,NA,0,28,NA,0,35,NA,0,40,0,0,41,NA,0,"2022",0,0,0,0,0,0,NA
992,"f","750","300","az",46,0,0,49,0,NA,56,0,0,NA,NA,NA,0,0,"2022",0,0,0,0,NA,7,0,0,14,0,0,21,NA,0,28,NA,0,35,NA,0,40,0,0,41,NA,0,"2022",0,0,0,0,0,0,NA
